the_geom,BoroCode,BoroName,specific_borough,Amount_of_Racks
POINT (-74.00490498434043 40.653834608695725),3,Brooklyn,,
POINT (-73.9988235953214 40.739745920695135),1,Manhattan,,
POINT (-73.98385492897089 40.725595585484925),1,Manhattan,,
POINT (-73.99320171243826 40.73659200567813),1,Manhattan,,
POINT (-73.99952383389967 40.71599555036048),1,Manhattan,,
POINT (-74.00136383079584 40.72895080216202),1,Manhattan,,
POINT (-73.99912332693809 40.723167604043795),1,Manhattan,,
POINT (-74.00743092805284 40.714680571011776),1,Manhattan,,
POINT (-73.95942257063848 40.719806361296925),3,Brooklyn,,
POINT (-73.96057764708415 40.71867592207623),3,Brooklyn,,
POINT (-73.94155657371851 40.676305092175696),3,Brooklyn,,
POINT (-74.00303949255648 40.683629226223196),3,Brooklyn,,
POINT (-73.99017381979795 40.69048802891113),3,Brooklyn,,
POINT (-73.96057764708415 40.71867592207623),3,Brooklyn,,
POINT (-73.97900643450697 40.68984151302356),3,Brooklyn,,
POINT (-74.00623283139142 40.709443635836784),1,Manhattan,,
POINT (-73.99017381979795 40.69048802891113),3,Brooklyn,,
POINT (-73.92755942972335 40.86057074228804),1,Manhattan,,
POINT (-73.92544094622137 40.86379441420166),1,Manhattan,,
POINT (-73.92544094622137 40.86379441420166),1,Manhattan,,
POINT (-73.92994250656947 40.70548374983315),3,Brooklyn,,
POINT (-73.92994250656947 40.70548374983315),3,Brooklyn,,
POINT (-73.97900643450697 40.68984151302356),3,Brooklyn,,
POINT (-73.96515565832206 40.80120909672638),1,Manhattan,,
POINT (-73.9592846147136 40.668083892092035),3,Brooklyn,,
POINT (-73.95454410272346 40.731991260873485),3,Brooklyn,,
POINT (-73.85634135578658 40.711330395859655),4,Queens,,
POINT (-73.84254167234009 40.68038150959937),4,Queens,,
POINT (-73.86926702732944 40.74916582520361),4,Queens,,
POINT (-73.86926702732944 40.74916582520361),4,Queens,,
POINT (-73.84302422561925 40.68062370977106),4,Queens,,
POINT (-73.87069874428573 40.751593800416295),4,Queens,,
POINT (-73.87069874428573 40.751593800416295),4,Queens,,
POINT (-73.8563305346276 40.71133038235504),4,Queens,,
POINT (-73.84295934032315 40.68061813168894),4,Queens,,
POINT (-73.87068072475697 40.75158005646464),4,Queens,,
POINT (-73.842966512325 40.68063461010865),4,Queens,,
POINT (-73.85632332643796 40.71132762859826),4,Queens,,
POINT (-73.84290163467196 40.68062628723251),4,Queens,,
POINT (-73.86923814373499 40.7491712819082),4,Queens,,
POINT (-73.87067346899025 40.75159926153033),4,Queens,,
POINT (-73.86924172590076 40.74918500970266),4,Queens,,
POINT (-73.87065544413588 40.7515882623133),4,Queens,,
POINT (-73.86922370732414 40.74917126551829),4,Queens,,
POINT (-73.86922370732414 40.74917126551829),4,Queens,,
POINT (-73.85208675433432 40.7170478424808),4,Queens,,
POINT (-73.9681465835056 40.75541403653944),1,Manhattan,,
POINT (-73.9681465835056 40.75541403653944),1,Manhattan,,
POINT (-73.9638232089414 40.77397270617545),1,Manhattan,,
POINT (-73.96513399106779 40.80120085601142),1,Manhattan,,
POINT (-73.85629451735508 40.71130563455431),4,Queens,,
POINT (-73.85629451735508 40.71130563455431),4,Queens,,
POINT (-73.84263472561095 40.680672583629544),4,Queens,,
POINT (-73.86918399641486 40.74917670991565),4,Queens,,
POINT (-73.84263829214375 40.68068905713872),4,Queens,,
POINT (-73.87062290654126 40.751615673217486),4,Queens,,
POINT (-73.84263108135448 40.680689047276964),4,Queens,,
POINT (-73.84262386408776 40.680691782177824),4,Queens,,
POINT (-73.89172341255855 40.82216064907638),2,Bronx,,
POINT (-73.86168461673405 40.72987780909956),4,Queens,,
POINT (-73.96441340805853 40.682970508142176),3,Brooklyn,,
POINT (-73.96308209953388 40.76920211397323),1,Manhattan,,
POINT (-73.9545801246125 40.732079107971664),3,Brooklyn,,
POINT (-73.96506529386355 40.80133532654756),1,Manhattan,,
POINT (-73.96506529386355 40.80133532654756),1,Manhattan,,
POINT (-73.87299793004837 40.6739250146924),3,Brooklyn,,
POINT (-73.96260271434468 40.60709860105046),3,Brooklyn,,
POINT (-73.96260271434468 40.60709860105046),3,Brooklyn,,
POINT (-74.09105572859404 40.60494963282949),5,Staten Island,,
POINT (-73.95817612779817 40.6480164035132),3,Brooklyn,,
POINT (-73.89821238094422 40.817511513932914),2,Bronx,,
POINT (-73.89821238094422 40.817511513932914),2,Bronx,,
POINT (-73.89821238094422 40.817511513932914),2,Bronx,,
POINT (-73.86068954918402 40.72951430118113),4,Queens,,
POINT (-73.95456565820412 40.73212850775527),3,Brooklyn,,
POINT (-73.9002780982928 40.82287924621413),2,Bronx,,
POINT (-73.95456565820412 40.73212850775527),3,Brooklyn,,
POINT (-73.96469207887408 40.75590159505345),1,Manhattan,,
POINT (-73.96215471308209 40.80020083599998),1,Manhattan,,
POINT (-73.96469207887408 40.75590159505345),1,Manhattan,,
POINT (-73.96215471308209 40.80020083599998),1,Manhattan,,
POINT (-73.95097088114494 40.66485827996262),3,Brooklyn,,
POINT (-73.96497131712032 40.801461556098324),1,Manhattan,,
POINT (-74.00504192673397 40.65373304605383),3,Brooklyn,,
POINT (-74.00504192673397 40.65373304605383),3,Brooklyn,,
POINT (-73.96294117409565 40.76942988261029),1,Manhattan,,
POINT (-73.95097449779328 40.66484181286523),3,Brooklyn,,
POINT (-73.9642151251767 40.68292927424431),3,Brooklyn,,
POINT (-73.95097449779328 40.66484181286523),3,Brooklyn,,
POINT (-73.9629881601406 40.76933383110023),1,Manhattan,,
POINT (-73.9649930219693 40.80139843410764),1,Manhattan,,
POINT (-73.96367868163486 40.77417302619586),1,Manhattan,,
POINT (-73.95460168019636 40.73221635394459),3,Brooklyn,,
POINT (-74.0071215253391 40.65484182742546),3,Brooklyn,,
POINT (-74.0071215253391 40.65484182742546),3,Brooklyn,,
POINT (-73.97370744428444 40.685566815884464),3,Brooklyn,,
POINT (-73.98039000402748 40.68131375235979),3,Brooklyn,,
POINT (-73.95619794622029 40.73002116783849),3,Brooklyn,,
POINT (-73.98789088002599 40.73230426395302),1,Manhattan,,
POINT (-73.98483594237614 40.74284649633296),1,Manhattan,,
POINT (-73.98148483547595 40.72467573511114),1,Manhattan,,
POINT (-73.96361466343001 40.71292390290845),3,Brooklyn,,
POINT (-74.0016707271871 40.73749521785695),1,Manhattan,,
POINT (-73.99698404189192 40.72131760089144),1,Manhattan,,
POINT (-73.99998556901119 40.72426551008203),1,Manhattan,,
POINT (-73.9417885047426 40.703843490634355),3,Brooklyn,,
POINT (-74.0016707271871 40.73749521785695),1,Manhattan,,
POINT (-74.0016707271871 40.73749521785695),1,Manhattan,,
POINT (-74.0016707271871 40.73749521785695),1,Manhattan,,
POINT (-74.0016707271871 40.73749521785695),1,Manhattan,,
POINT (-74.0016707271871 40.73749521785695),1,Manhattan,,
POINT (-74.0016707271871 40.73749521785695),1,Manhattan,,
POINT (-73.96361466343001 40.71292390290845),3,Brooklyn,,
POINT (-73.96361466343001 40.71292390290845),3,Brooklyn,,
POINT (-74.0016707271871 40.73749521785695),1,Manhattan,,
POINT (-73.99698404189192 40.72131760089144),1,Manhattan,,
POINT (-73.97370744428444 40.685566815884464),3,Brooklyn,,
POINT (-73.98716704172978 40.68750691304057),3,Brooklyn,,
POINT (-73.98716704172978 40.68750691304057),3,Brooklyn,,
POINT (-73.96502275798528 40.71043758510519),3,Brooklyn,,
POINT (-73.98148483547595 40.72467573511114),1,Manhattan,,
POINT (-73.95748741873399 40.73349925601553),3,Brooklyn,,
POINT (-73.95748741873399 40.73349925601553),3,Brooklyn,,
POINT (-73.98150930079454 40.610493020042384),3,Brooklyn,,
POINT (-73.99102506850879 40.68865459217317),3,Brooklyn,,
POINT (-73.99102506850879 40.68865459217317),3,Brooklyn,,
POINT (-73.98274672459111 40.74184162375197),1,Manhattan,,
POINT (-73.99495520234623 40.644024747211816),3,Brooklyn,,
POINT (-73.96366059937195 40.774227915147634),1,Manhattan,,
POINT (-73.8417956041736 40.680276184882565),4,Queens,,
POINT (-73.8189367935956 40.58489658495615),4,Queens,,
POINT (-73.84178118919662 40.680273420289815),4,Queens,,
POINT (-73.86829231888929 40.74929097307985),4,Queens,,
POINT (-73.86827429929582 40.74927722874583),4,Queens,,
POINT (-73.8554872209502 40.71098897557097),4,Queens,,
POINT (-73.8591493197476 40.729320294705246),4,Queens,,
POINT (-73.85540387214077 40.711167280348384),4,Queens,,
POINT (-73.86825985743441 40.7492799569745),4,Queens,,
POINT (-73.96786486143812 40.75579822281503),1,Manhattan,,
POINT (-73.96415023317155 40.68291553021045),3,Brooklyn,,
POINT (-73.96208241933597 40.80029962222008),1,Manhattan,,
POINT (-73.96496048996445 40.80144508448151),1,Manhattan,,
POINT (-73.9581581922489 40.647884647628494),3,Brooklyn,,
