mapX,mapY,pixelX,pixelY,enable,dX,dY,residual
297153.68246134906075895,4636449.06711251009255648,4167.59331762620422523,5500.83189121996383619,1,-12.99372443380070763,-3.50219091457347531,13.45742233355520945
297144.26813259907066822,4636453.76787237077951431,4166.56261436532258813,5513.68003205997501937,1,-3.30765011410949228,-5.78995701472558721,6.66814453275711294
297935.4110687502543442,4635608.48642349243164063,2679.80069047139704708,4250.40344509551687224,1,-5.64069696008346,-0.44680696428167721,5.65836536985951444
297954.76517983712255955,4635579.55712060444056988,2631.91783189586340086,4219.11809752272438345,1,-8.14498386098512128,-0.75854006311237754,8.18022891629901849
297639.68232442199951038,4635518.57201006263494492,2531.57197237363243403,4727.19132327010265726,1,12.54109900920684595,-0.8808742817482198,12.57199681271731784
297513.47983173694228753,4635928.14176405873149633,3216.83470992170805403,4926.80205769424355822,1,29.608919626095485,-1.60014663052152173,29.65212624186926149
297704.03526021516881883,4635534.82967452518641949,2557.68982173727317786,4624.9597059114903459,1,9.1252824017005878,0.71025673491203634,9.15288170688741864
297226.1424777073552832,4635111.35055662132799625,1900.93084662464798384,5401.28687790256753942,1,-14.89370357493885422,3.78982372532846057,15.36831708571920707
298469.29323007725179195,4636267.92685615457594395,3759.89497399573838265,3397.21331553305253692,1,-9.93521667587992852,11.58665481649768481,15.26299774727598013
298451.12345468590501696,4635047.17602774873375893,1653.79462859927207319,3411.46764490362875222,1,32.24963668796044658,-12.49993743639606691,34.58738935535986059
297719.49395617080153897,4635042.11324694659560919,1747.78592802048569865,4603.9961658598303984,1,-15.70431141219660276,1.0005482719234351,15.73615244510860123
297727.05594835034571588,4635048.47219491563737392,1757.6205373085631436,4591.21117378533017472,1,-15.34518763573009892,0.44859117219766631,15.3517431458299729
297722.93122534331632778,4635030.77025867719203234,1729.24395071500339327,4598.73794638187791861,1,-16.60897915427631233,1.19715095426727203,16.65206770808022441
297732.9527462127734907,4635029.2555517116561532,1725.90024674366918589,4583.04825851638724998,1,-16.57578382076599155,1.64548347407981055,16.65725743140921011
297098.44836186867905781,4635243.64483398012816906,2106.96266521050483789,5602.71065752816593886,1,12.42050793018870536,0.42181658114350284,12.42766858553961029
297109.11268799682147801,4635241.17566622979938984,2106.44388498515536412,5586.07559516808578337,1,7.96604513355350718,0.95354396681614162,8.02291226216907916
297114.4170906474464573,4635204.26862656697630882,2044.92344706169365054,5579.09539760513962392,1,6.6511184242588115,2.24722589679822704,7.02049859516798236
297093.58089784201001748,4635204.26862656697630882,2044.54197277721050341,5611.90218607070528378,1,8.58762842980422647,1.47735771139377903,8.71377919480385188
